id,userid,relation,landmark,geometry_type,geometry
5f352b3bf2e44000043e439b,0,NA RUA - PERTO DE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.878370404243476, -7.223327525588782],[-35.87832748889924, -7.223380744023762],[-35.87746649980546, -7.222760748867471],[-35.87752282619477, -7.222691564805878],[-35.878370404243476, -7.223327525588782]]]}"
5f352b47f2e44000043e439c,0,NA RUA - PERTO DE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.87833017110825, -7.223290272680559],[-35.878287255764015, -7.223359456650513],[-35.8774557709694, -7.22275808794222],[-35.87750136852265, -7.222686242954551],[-35.87833017110825, -7.223290272680559]]]}"
5f352b56f2e44000043e439d,0,NA RUA - PERTO DE,Niscar,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.8696210384369, -7.2340535744799075],[-35.8695673942566, -7.234003018161321],[-35.86908996105195, -7.234567119921517],[-35.86916774511338, -7.234599050188746],[-35.86961567401887, -7.2340535744799075],[-35.8696210384369, -7.2340535744799075]]]}"
5f352b62f2e44000043e439e,0,NA RUA - PERTO DE,Localiza Hertz,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.86954593658448, -7.234133400234579],[-35.8694949746132, -7.234082843924935],[-35.869076550006874, -7.234593728477706],[-35.8691355586052, -7.234636302164329],[-35.86954593658448, -7.234133400234579]]]}"
5f352b6bf2e44000043e439f,0,NA FRENTE DE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.87933868169785, -7.224006060165609],[-35.87930381298066, -7.224061939438309],[-35.879180431365974, -7.223987433739835],[-35.87922334671021, -7.223926232621188],[-35.87933599948884, -7.224006060165609],[-35.87933868169785, -7.224006060165609]]]}"
5f352b75f2e44000043e43a0,0,NA FRENTE DE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.879531800746925, -7.224136445124482],[-35.87950766086579, -7.2242029680482105],[-35.8792930841446, -7.224059278520718],[-35.87933868169785, -7.224016703837119],[-35.87952911853791, -7.224136445124482],[-35.879531800746925, -7.224136445124482]]]}"
5f352b87f2e44000043e43a1,0,NA FRENTE DE,Niscar,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.86998850107194, -7.233598567408766],[-35.869889259338386, -7.233715645295453],[-35.86983561515809, -7.23366774980002],[-35.869948267936714, -7.233540028454042],[-35.86999654769898, -7.2336145325769206],[-35.86998850107194, -7.233598567408766]]]}"
5f352b92f2e44000043e43a2,0,NA FRENTE DE,Localiza Hertz,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.86988657712937, -7.233728949598839],[-35.869806110858924, -7.233830062291749],[-35.86973905563355, -7.2337768450877835],[-35.869822204113014, -7.233662428078001],[-35.86988657712937, -7.233728949598839]]]}"
5f352ba0f2e44000043e43a3,0,À DIREITA DE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.879242122173316, -7.22393953721291],[-35.87920725345612, -7.224008721083505],[-35.87906241416932, -7.223907606192133],[-35.87909996509553, -7.22385172690036],[-35.8792394399643, -7.223936876294594],[-35.879242122173316, -7.22393953721291]]]}"
5f352ba8f2e44000043e43a4,0,À DIREITA DE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.879373550415046, -7.224011382001402],[-35.87930917739869, -7.224093870448172],[-35.87914019823075, -7.223976790067625],[-35.87920188903809, -7.223923571702808],[-35.879365503788, -7.224022025672798],[-35.879373550415046, -7.224011382001402]]]}"
