id,userid,relation,landmark,geometry_type,geometry,geom
5f352b3bf2e44000043e439b,0,NA RUA - PERTO DE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.878370404243476, -7.223327525588782],[-35.87832748889924, -7.223380744023762],[-35.87746649980546, -7.222760748867471],[-35.87752282619477, -7.222691564805878],[-35.878370404243476, -7.223327525588782]]]}",0103000020E61000000100000005000000010000716EF041C03BCD8AF8AFE41CC0010000096DF041C0868DF8EBBDE41CC0010080D250F041C07FDFCC641BE41CC0010000AB52F041C0C8BEEF4109E41CC0010000716EF041C03BCD8AF8AFE41CC0
5f352b47f2e44000043e439c,0,NA RUA - PERTO DE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.87833017110825, -7.223290272680559],[-35.878287255764015, -7.223359456650513],[-35.8774557709694, -7.22275808794222],[-35.87750136852265, -7.222686242954551],[-35.87833017110825, -7.223290272680559]]]}",0103000020E610000001000000050000000100801F6DF041C031B68A34A6E41CC0010080B76BF041C0E0436657B8E41CC00100807850F041C07B863AB21AE41CC0010000F751F041C01F09CBDC07E41CC00100801F6DF041C031B68A34A6E41CC0
5f352b56f2e44000043e439d,0,NA RUA - PERTO DE,Niscar,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.8696210384369, -7.2340535744799075],[-35.8695673942566, -7.234003018161321],[-35.86908996105195, -7.234567119921517],[-35.86916774511338, -7.234599050188746],[-35.86961567401887, -7.2340535744799075],[-35.8696210384369, -7.2340535744799075]]]}",0103000020E61000000100000006000000010000BE4FEF41C0C79C7FBDABEF1CC0010000FC4DEF41C034ACB87C9EEF1CC0010000573EEF41C08B1EF35C32F01CC0010080E340EF41C0EDEEC0BB3AF01CC0010000914FEF41C0C79C7FBDABEF1CC0010000BE4FEF41C0C79C7FBDABEF1CC0
5f352b62f2e44000043e439e,0,NA RUA - PERTO DE,Localiza Hertz,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.86954593658448, -7.234133400234579],[-35.8694949746132, -7.234082843924935],[-35.869076550006874, -7.234593728477706],[-35.8691355586052, -7.234636302164329],[-35.86954593658448, -7.234133400234579]]]}",0103000020E61000000100000005000000010000484DEF41C09BA283AAC0EF1CC00100809C4BEF41C05DD9BC69B3EF1CC0010080E63DEF41C041A29E5639F01CC0010080D53FEF41C02C00B17F44F01CC0010000484DEF41C09BA283AAC0EF1CC0
5f352b6bf2e44000043e439f,0,NA FRENTE DE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.87933868169785, -7.224006060165609],[-35.87930381298066, -7.224061939438309],[-35.879180431365974, -7.223987433739835],[-35.87922334671021, -7.223926232621188],[-35.87933599948884, -7.224006060165609],[-35.87933868169785, -7.224006060165609]]]}",0103000020E610000001000000060000000100802B8EF041C082113AD861E51CC0010000078DF041C0DAA9387E70E51CC0010000FC88F041C09F823AF65CE51CC0010000648AF041C0474C17EB4CE51CC0010000158EF041C082113AD861E51CC00100802B8EF041C082113AD861E51CC0
5f352b75f2e44000043e43a0,0,NA FRENTE DE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.879531800746925, -7.224136445124482],[-35.87950766086579, -7.2242029680482105],[-35.8792930841446, -7.224059278520718],[-35.87933868169785, -7.224016703837119],[-35.87952911853791, -7.224136445124482],[-35.879531800746925, -7.224136445124482]]]}",0103000020E610000001000000060000000100807F94F041C0FB9A360684E51CC0010000B593F041C098BB7D7695E51CC0010000AD8CF041C08672A6CB6FE51CC00100802B8EF041C0DCF382A264E51CC00100006994F041C0FB9A360684E51CC00100807F94F041C0FB9A360684E51CC0
5f352b87f2e44000043e43a1,0,NA FRENTE DE,Niscar,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.86998850107194, -7.233598567408766],[-35.869889259338386, -7.233715645295453],[-35.86983561515809, -7.23366774980002],[-35.869948267936714, -7.233540028454042],[-35.86999654769898, -7.2336145325769206],[-35.86998850107194, -7.233598567408766]]]}",0103000020E61000000100000006000000010080C85BEF41C004A77D7634EF1CC00100008858EF41C0166E742753EF1CC0010000C656EF41C080153E9946EF1CC0010000775AEF41C06E11021E25EF1CC00100000C5CEF41C01E27E5A538EF1CC0010080C85BEF41C004A77D7634EF1CC0
5f352b92f2e44000043e43a2,0,NA FRENTE DE,Localiza Hertz,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.86988657712937, -7.233728949598839],[-35.869806110858924, -7.233830062291749],[-35.86973905563355, -7.2337768450877835],[-35.869822204113014, -7.233662428078001],[-35.86988657712937, -7.233728949598839]]]}",0103000020E610000001000000050000000100807158EF41C02D9F4AA456EF1CC0010080CE55EF41C07575D92571EF1CC00100009C53EF41C03ADB803263EF1CC00100805556EF41C08B981B3445EF1CC00100807158EF41C02D9F4AA456EF1CC0
5f352ba0f2e44000043e43a3,0,À DIREITA DE,Café Poético,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.879242122173316, -7.22393953721291],[-35.87920725345612, -7.224008721083505],[-35.87906241416932, -7.223907606192133],[-35.87909996509553, -7.22385172690036],[-35.8792394399643, -7.223936876294594],[-35.879242122173316, -7.22393953721291]]]}",0103000020E61000000100000006000000010080018BF041C07C71F26750E51CC0010000DD89F041C02E4ACC8A62E51CC00100001E85F041C0F5AE170948E51CC00100005986F041C0BCC2186339E51CC0010000EB8AF041C0F83660B54FE51CC0010080018BF041C07C71F26750E51CC0
5f352ba8f2e44000043e43a4,0,À DIREITA DE,Maria Pitanga,Polygon,"{ ""type"": ""Polygon"",  ""coordinates"":[[[-35.879373550415046, -7.224011382001402],[-35.87930917739869, -7.224093870448172],[-35.87914019823075, -7.223976790067625],[-35.87920188903809, -7.223923571702808],[-35.879365503788, -7.224022025672798],[-35.879373550415046, -7.224011382001402]]]}",0103000020E61000000100000006000000010000508FF041C0DA825E3D63E51CC0010000348DF041C0603C13DD78E51CC0010080AA87F041C0319DF12B5AE51CC0010000B089F041C07B1185384CE51CC00100800C8FF041C0B364A70766E51CC0010000508FF041C0DA825E3D63E51CC0
